TTree  Jul 18 20:37 2018 Events            ""
    EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj      "EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj"      0
      EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj  "EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_"  1532317
        EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj.id_.id_    "id_[EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_]"        4728906
        EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj.energy_    "energy_[EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_]"    4728906
        EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj.time_      "time_[EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_]"      4728406
        EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj.flagBits_  "flagBits_[EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_]"  4729406
        EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj.extra_     "extra_[EcalRecHitsSorted_reducedEgamma_reducedEERecHits_DQM.obj.obj_]"     4728656
  EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.               "EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM."               0
    EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.present  "EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.present"  216264
    EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj      "EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj"      0
      EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj  "EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_"  1532317
        EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj.id_.id_    "id_[EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_]"        4272861
        EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj.energy_    "energy_[EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_]"    4272861
        EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj.time_      "time_[EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_]"      4272363
        EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj.flagBits_  "flagBits_[EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_]"  4273359
        EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj.extra_     "extra_[EcalRecHitsSorted_reducedEgamma_reducedESRecHits_DQM.obj.obj_]"     4272612
  edmTriggerResults_TriggerResults__DQM.                              "edmTriggerResults_TriggerResults__DQM."                              0
    edmTriggerResults_TriggerResults__DQM.present  "edmTriggerResults_TriggerResults__DQM.present"  212949
    edmTriggerResults_TriggerResults__DQM.obj      "edmTriggerResults_TriggerResults__DQM.obj"      23516103
  floatedmValueMap_offlineSlimmedPrimaryVertices__DQM.                "floatedmValueMap_offlineSlimmedPrimaryVertices__DQM."                0
    floatedmValueMap_offlineSlimmedPrimaryVertices__DQM.present  "floatedmValueMap_offlineSlimmedPrimaryVertices__DQM.present"  216043
    floatedmValueMap_offlineSlimmedPrimaryVertices__DQM.obj      "floatedmValueMap_offlineSlimmedPrimaryVertices__DQM.obj"      21637706
  patPackedTriggerPrescales_patTrigger__DQM.                          "patPackedTriggerPrescales_patTrigger__DQM."                          0
    patPackedTriggerPrescales_patTrigger__DQM.present  "patPackedTriggerPrescales_patTrigger__DQM.present"  213833
    patPackedTriggerPrescales_patTrigger__DQM.obj      "patPackedTriggerPrescales_patTrigger__DQM.obj"      433227784
  patPackedTriggerPrescales_patTrigger_l1max_DQM.                     "patPackedTriggerPrescales_patTrigger_l1max_DQM."                     0
